;Available since;Coordinates;Garden;Listing_status;Neighbourhood;Number of bedrooms;Number of rooms;Price;Surface (m²);Total volume (m³);Year built;Zipcode;link
405;> 3 maanden;('4.9203378200', '52.3668506100');['N', 'e', 'e'];Verkocht onder voorbehoud;Oostelijke Eilanden/Kadijken;2;4;1.100.000;161;610;1936;1018AW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002295933/joos-banckersplantsoen
"
406;28-03-2018;('4.9465209400', '52.3664206800');['N', 'e', 'e'];Beschikbaar;Indische Buurt Oost;2;3;450.000;106;320;2001;1095DW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002341465/th-k-van-lohuizenlaan
"
407;28-03-2018;('4.9465209400', '52.3664206800');['N', 'e', 'e'];Beschikbaar;Indische Buurt Oost;2;3;450.000;106;320;2001;1095DW;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002317424/leusdenhof
"
408;> 3 maanden;('4.9743876500', '52.3254203100');['N', 'e', 'e'];Beschikbaar;Bijlmer-Oost (E, G, K);1;2;149.500;50;320;1974;1103KV;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002286001/gouden-leeuw
"
409;> 3 maanden;('4.9368614400', '52.4009868400');['N', 'e', 'e'];Beschikbaar;Buikslotermeer;1;2;235.000;64;170;1981;1025CW;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0001613195/dijkwater
"
410;03-04-2018;('4.8480660300', '52.3768794500');['N', 'e', 'e'];Beschikbaar;Erasmuspark;2;3;299.000;49;161;1981;1055AN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002344398/elckerlijcstraat
"
411;03-04-2018;('4.8480660300', '52.3768794500');['N', 'e', 'e'];Beschikbaar;Erasmuspark;2;3;299.000;49;161;1981;1055AN;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002208128/erich-salomonstraat
"
412;> 3 maanden;('4.9070605000', '52.4106573400');['N', 'e', 'e'];Beschikbaar;Kadoelen;3;4;975.000;144;570;1930;1035NT;"https://www.pararius.nl/woonhuis-te-koop/amsterdam/PB0002381354/kadoelenweg
"
413;11-05-2018;('4.8751835800', '52.3647855000');['N', 'e', 'e'];Beschikbaar;Helmersbuurt;3;7;869.000;133;438;1930;1054BL;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002375808/derde-helmersstraat
"
414;16-04-2018;('4.9082258600', '52.3708287200');['N', 'e', 'e'];Beschikbaar;Nieuwmarkt/Lastage;2;3;475.000;83;216;1881;1011VP;"https://www.pararius.nl/appartement-te-koop/amsterdam/PB0002355082/nieuwegrachtje
"
